comparison,metric,complete_paired_rows,mean_log_difference,error_ratio,percent_error_change,Hotelling_T2,Pillai,approx_F,p_value
ii_vs_i,rmse,48114,0.182527246715041,1.20024685329205,20.0246853292051,10321.3241320807,0.176631188695725,3440.29836231743,0
ii_vs_i,L1,48114,0.18106492718558,1.19849299154399,19.8492991543986,10321.3241320807,0.176631188695725,3440.29836231743,0
ii_vs_i,Linf,48114,0.181068464258176,1.1984972307082,19.84972307082,10321.3241320807,0.176631188695725,3440.29836231743,0
iii_vs_i,rmse,48114,-0.0361807590436408,0.964465941784514,-3.55340582154865,954.964953790558,0.0194620860003037,318.308419012308,1.14755954376161e-204
iii_vs_i,L1,48114,-0.037438700989827,0.963253462394904,-3.67465376050963,954.964953790558,0.0194620860003037,318.308419012308,1.14755954376161e-204
iii_vs_i,Linf,48114,-0.0374468480643916,0.963245614729089,-3.67543852709112,954.964953790558,0.0194620860003037,318.308419012308,1.14755954376161e-204
iv_vs_i,rmse,48114,-0.0273014096345133,0.973067905277686,-2.69320947223143,527.446276209614,0.010843779541299,175.808116965759,2.26963913072707e-113
iv_vs_i,L1,48114,-0.0283432414432073,0.972054660089131,-2.7945339910869,527.446276209614,0.010843779541299,175.808116965759,2.26963913072707e-113
iv_vs_i,Linf,48114,-0.0282047384085584,0.972189301933335,-2.78106980666653,527.446276209614,0.010843779541299,175.808116965759,2.26963913072707e-113
v_vs_i,rmse,48114,-0.0377603818587881,0.962943652016798,-3.70563479832018,1161.68800987756,0.0235757557641904,387.213239964383,1.5132712791429e-248
v_vs_i,L1,48114,-0.0384985145145537,0.962233134122073,-3.77668658779274,1161.68800987756,0.0235757557641904,387.213239964383,1.5132712791429e-248
v_vs_i,Linf,48114,-0.0384980529203848,0.962233578283379,-3.7766421716621,1161.68800987756,0.0235757557641904,387.213239964383,1.5132712791429e-248
iii_vs_ii,rmse,48114,-0.218708005758682,0.803556317718447,-19.6443682281553,19164.6257293532,0.284858829686549,6387.94302624318,0
iii_vs_ii,L1,48114,-0.218503628175407,0.803720563400184,-19.6279436599816,19164.6257293532,0.284858829686549,6387.94302624318,0
iii_vs_ii,Linf,48114,-0.218515312322568,0.803711172665706,-19.6288827334294,19164.6257293532,0.284858829686549,6387.94302624318,0
iv_vs_ii,rmse,48114,-0.209828656349555,0.810723146333393,-18.9276853666607,17852.1941941235,0.270630510714298,5950.48403323755,0
iv_vs_ii,L1,48114,-0.209408168628788,0.811064117143363,-18.8935882856637,17852.1941941235,0.270630510714298,5950.48403323755,0
iv_vs_ii,Linf,48114,-0.209273202666735,0.811173590579647,-18.8826409420353,17852.1941941235,0.270630510714298,5950.48403323755,0
v_vs_ii,rmse,48114,-0.22028762857383,0.802288003818236,-19.7711996181764,19739.7726955891,0.290920649391123,6579.65071226408,0
v_vs_ii,L1,48114,-0.219563441700134,0.802869220688937,-19.7130779311063,19739.7726955891,0.290920649391123,6579.65071226408,0
v_vs_ii,Linf,48114,-0.219566517178561,0.802866751485766,-19.7133248514234,19739.7726955891,0.290920649391123,6579.65071226408,0
iv_vs_iii,rmse,48114,0.00887934940912746,1.00891888777042,0.891888777042382,565.507107393643,0.011617182633519,188.494533312657,1.58203303316209e-121
iv_vs_iii,L1,48114,0.0090954595466197,1.00913694893174,0.913694893174344,565.507107393643,0.011617182633519,188.494533312657,1.58203303316209e-121
iv_vs_iii,Linf,48114,0.00924210965583316,1.00928494982742,0.928494982742412,565.507107393643,0.011617182633519,188.494533312657,1.58203303316209e-121
v_vs_iii,rmse,48114,-0.00157962281514732,0.998421624132316,-0.157837586768361,68.8207449868315,0.00142835500864695,22.9392947301938,7.8294148171411e-15
v_vs_iii,L1,48114,-0.00105981352472663,0.998940747879282,-0.105925212071845,68.8207449868315,0.00142835500864695,22.9392947301938,7.8294148171411e-15
v_vs_iii,Linf,48114,-0.00105120485599317,0.99894934746628,-0.105065253372016,68.8207449868315,0.00142835500864695,22.9392947301938,7.8294148171411e-15
v_vs_iv,rmse,48114,-0.0104589722242748,0.9895955326386,-1.04044673614,455.547792419201,0.00937948143655027,151.842951947015,6.00656183584346e-98
v_vs_iv,L1,48114,-0.0101552730713463,0.989896117604994,-1.01038823950064,455.547792419201,0.00937948143655027,151.842951947015,6.00656183584346e-98
v_vs_iv,Linf,48114,-0.0102933145118263,0.989759480350013,-1.02405196499874,455.547792419201,0.00937948143655027,151.842951947015,6.00656183584346e-98
