"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
1,"ex1","faces_ex1.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0928,0.1165,0.0898,0.0942,0.0934,0.25,0.315,0.242,0.254,0.252,0.125,0.157,0.121,0.127,0.126,87.792,4,"<2.2e-16",0.067,38.299,"<",85.845,4,"<2.2e-16",0.065,38.459,"<",85.845,4,"<2.2e-16",0.065,38.459,"<"
2,"ex2","faces_ex2.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0701,0.0774,0.0635,0.0659,0.0652,0.19,0.208,0.172,0.179,0.177,0.0952,0.1042,0.086,0.0895,0.0884,39.11,4,"=6.61e-08",0.03,18.345,"1.116e-14",35.973,4,"=2.93e-07",0.027,16.79,"1.969e-13",35.973,4,"=2.93e-07",0.027,16.79,"1.969e-13"
3,"ex3","faces_ex3.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0463,0.0609,0.046,0.0474,0.0465,0.125,0.164,0.124,0.128,0.126,0.0624,0.0819,0.0619,0.064,0.0628,58.805,4,"=5.171e-12",0.045,67.182,"<",53.278,4,"=7.455e-11",0.04,66.166,"<",53.278,4,"=7.455e-11",0.04,66.166,"<"
4,"ex4","faces_ex4.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0968,0.1117,0.0937,0.0969,0.097,0.261,0.303,0.253,0.263,0.262,0.131,0.151,0.127,0.131,0.131,36.623,4,"=2.154e-07",0.028,14.405,"1.623e-11",47.571,4,"=1.16e-09",0.036,14.453,"1.487e-11",47.571,4,"=1.16e-09",0.036,14.453,"1.487e-11"
5,"ex5","faces_ex5.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0686,0.0809,0.0637,0.0662,0.0653,0.185,0.218,0.172,0.179,0.176,0.0926,0.1088,0.086,0.0893,0.088,51.193,4,"=2.035e-10",0.039,24.127,"<",59.421,4,"=3.839e-12",0.045,22.468,"<",59.421,4,"=3.839e-12",0.045,22.468,"<"
6,"ex6","faces_ex6.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0507,0.0646,0.0447,0.0465,0.0456,0.137,0.173,0.121,0.126,0.123,0.0685,0.0867,0.0604,0.0628,0.0615,70.739,4,"=1.584e-14",0.054,25.948,"<",66.752,4,"=1.1e-13",0.051,24.305,"<",66.752,4,"=1.1e-13",0.051,24.305,"<"
7,"ex7","faces_ex7.lst",1,"Poisson","(iii)","(iii)","(iii)",0.105,0.114,0.102,0.104,0.105,0.284,0.306,0.274,0.281,0.284,0.142,0.153,0.137,0.14,0.142,30.645,4,"=3.617e-06",0.023,8.3926,"1.1e-06",33.743,4,"=8.413e-07",0.026,7.9456,"2.503e-06",33.743,4,"=8.413e-07",0.026,7.9456,"2.503e-06"
8,"ex8","faces_ex8.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0782,0.0841,0.0706,0.0726,0.0718,0.211,0.227,0.19,0.196,0.193,0.1054,0.1133,0.0951,0.0978,0.0966,55.886,4,"=2.119e-11",0.042,11.526,"3.366e-09",50.046,4,"=3.532e-10",0.038,11.243,"5.682e-09",50.046,4,"=3.532e-10",0.038,11.243,"5.682e-09"
9,"ex9","faces_ex9.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0585,0.0612,0.05,0.0506,0.051,0.158,0.165,0.135,0.136,0.137,0.0791,0.0823,0.0673,0.0682,0.0686,18.555,4,"=0.0009609",0.014,10.478,"2.342e-08",17.006,4,"=0.001928",0.013,10.131,"4.449e-08",17.006,4,"=0.001928",0.013,10.131,"4.449e-08"
10,"ex10","faces_ex10.lst",1,"Poisson","(iii)","(iii)","(iii)",0.0841,0.0946,0.0813,0.0833,0.0852,0.227,0.256,0.219,0.225,0.229,0.114,0.128,0.11,0.112,0.115,73.624,4,"=3.893e-15",0.056,16.297,"4.895e-13",68.514,4,"=4.673e-14",0.052,17.296,"7.726e-14",68.514,4,"=4.673e-14",0.052,17.296,"7.726e-14"
