"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
1,"faces_ex1.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
2,"faces_ex2.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",0,3,4,0.1,0.5,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
3,"faces_ex3.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",1,3,8,0.1,0.5,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
4,"faces_ex4.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",-1,3,2,0.1,0.5,0.2,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
5,"faces_ex5.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",0,3,4,0.1,0.5,0.2,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
6,"faces_ex6.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",1,3,8,0.1,0.5,0.2,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
7,"faces_ex7.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",-1,3,2,0.1,0.5,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
8,"faces_ex8.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",0,3,4,0.1,0.5,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
9,"faces_ex9.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
10,"faces_ex10.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
11,"faces_ex11.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
12,"faces_ex12.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
13,"faces_ex13.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1580235529,1,0.25,25,1,25,,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
