"method","metric","emmean","SE","df","asymp.LCL","asymp.UCL"
"i","rmse",0.100253204112738,0.00130469414205225,Inf,0.0976960505834748,0.102810357642
"ii","rmse",0.106069263822339,0.00130469414205225,Inf,0.103512110293076,0.108626417351602
"iii","rmse",0.0981317450511577,0.00130469414205225,Inf,0.0955745915218949,0.10068889858042
"iv","rmse",0.100676690507122,0.00130469414205225,Inf,0.0981195369778589,0.103233844036384
"v","rmse",0.0972305555634287,0.00130469414205225,Inf,0.0946734020341659,0.0997877090926915
"i","L1_norm",0.211207278481833,0.00130469414205225,Inf,0.20865012495257,0.213764432011096
"ii","L1_norm",0.234886963647336,0.00130469414205225,Inf,0.232329810118073,0.237444117176598
"iii","L1_norm",0.203431286343884,0.00130469414205225,Inf,0.200874132814621,0.205988439873147
"iv","L1_norm",0.207409542807041,0.00130469414205225,Inf,0.204852389277778,0.209966696336304
"v","L1_norm",0.20345266029783,0.00130469414205225,Inf,0.200895506768567,0.206009813827092
"i","Linf_norm",0.124513420974677,0.00130469414205225,Inf,0.121956267445414,0.12707057450394
"ii","Linf_norm",0.134259001876836,0.00130469414205225,Inf,0.131701848347573,0.136816155406098
"iii","Linf_norm",0.120869331433656,0.00130469414205225,Inf,0.118312177904393,0.123426484962918
"iv","Linf_norm",0.123801628456786,0.00130469414205225,Inf,0.121244474927523,0.126358781986049
"v","Linf_norm",0.120259878290601,0.00130469414205225,Inf,0.117702724761339,0.122817031819864
