comparison,term,rows_analyzed,residual_response_rank,manova_responses,dropped_responses,Df,Pillai,approx F,num Df,den Df,Pr(>F)
ii_vs_i,design_block,9477,2,rmse;L1,Linf,2,0.00055856224714317,1.32164810698545,4,18924,0.259177820155743
ii_vs_i,G,9477,2,rmse;L1,Linf,2,0.0126262507181597,30.0571506336941,4,18924,5.73735276534908e-25
ii_vs_i,theta_true,9477,2,rmse;L1,Linf,2,0.00539103509924876,12.7869610050685,4,18924,2.14633194846008e-10
ii_vs_i,theta_CV,9477,2,rmse;L1,Linf,2,0.000333624245363373,0.789319820521795,4,18924,0.531874295608977
ii_vs_i,sigma,9477,2,rmse;L1,Linf,2,0.10071367268763,250.871276559667,4,18924,2.26930835968282e-210
ii_vs_i,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00281343293291174,6.66455073606467,4,18924,2.34946269405458e-05
ii_vs_i,p1,9477,2,rmse;L1,Linf,1,0.00679745903140547,32.3754507481474,2,9461,9.71441843082368e-15
ii_vs_i,p2,9477,2,rmse;L1,Linf,1,0.00115314991180346,5.4612733246389,2,9461,0.00426154597265662
ii_vs_i,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
iii_vs_i,design_block,9477,2,rmse;L1,Linf,2,0.0192649721640684,46.0145259347417,4,18924,1.54833968254628e-38
iii_vs_i,G,9477,2,rmse;L1,Linf,2,0.019458692258917,46.4817738045235,4,18924,6.19793767726955e-39
iii_vs_i,theta_true,9477,2,rmse;L1,Linf,2,0.00145011010982376,3.43272437895118,4,18924,0.00822059471612855
iii_vs_i,theta_CV,9477,2,rmse;L1,Linf,2,0.000963309876811212,2.27980759418328,4,18924,0.0582283380485908
iii_vs_i,sigma,9477,2,rmse;L1,Linf,2,0.0672996760502749,164.74088789056,4,18924,7.03382954612739e-139
iii_vs_i,mean_nsamp,9477,2,rmse;L1,Linf,2,0.0179777417798597,42.9120793208919,4,18924,6.75820071882294e-36
iii_vs_i,p1,9477,2,rmse;L1,Linf,1,0.00250861590786226,11.8968521847866,2,9461,6.91431004312448e-06
iii_vs_i,p2,9477,2,rmse;L1,Linf,1,0.00205141007146566,9.72414354908126,2,9461,6.04216774794765e-05
iii_vs_i,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
iv_vs_i,design_block,9477,2,rmse;L1,Linf,2,0.0208290075385019,49.7895507967685,4,18924,9.49148719955385e-42
iv_vs_i,G,9477,2,rmse;L1,Linf,2,0.0235057744396556,56.2641759514796,4,18924,2.93690047264239e-47
iv_vs_i,theta_true,9477,2,rmse;L1,Linf,2,0.0028476745751332,6.74577909929285,4,18924,2.02024045803468e-05
iv_vs_i,theta_CV,9477,2,rmse;L1,Linf,2,0.000856448645963605,2.02679719588394,4,18924,0.0877757388087007
iv_vs_i,sigma,9477,2,rmse;L1,Linf,2,0.0654709485456275,160.112900520413,4,18924,5.26811432023163e-135
iv_vs_i,mean_nsamp,9477,2,rmse;L1,Linf,2,0.0222034786323828,53.111963882496,4,18924,1.41270455506078e-44
iv_vs_i,p1,9477,2,rmse;L1,Linf,1,0.0039623592572067,18.8185061482596,2,9461,6.97332301030452e-09
iv_vs_i,p2,9477,2,rmse;L1,Linf,1,0.00437380559094316,20.7811801900583,2,9461,9.87675053210556e-10
iv_vs_i,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
v_vs_i,design_block,9477,2,rmse;L1,Linf,2,0.0118775100823884,28.2641036881526,4,18924,1.90762573069e-23
v_vs_i,G,9477,2,rmse;L1,Linf,2,0.0281422068579573,67.5204779513253,4,18924,7.84486954518048e-57
v_vs_i,theta_true,9477,2,rmse;L1,Linf,2,0.00196250441804755,4.64686394640392,4,18924,0.000950503981253418
v_vs_i,theta_CV,9477,2,rmse;L1,Linf,2,0.00046195680861467,1.0930112927823,4,18924,0.358023985149228
v_vs_i,sigma,9477,2,rmse;L1,Linf,2,0.0620740150912389,151.539412590351,4,18924,8.09048451730508e-128
v_vs_i,mean_nsamp,9477,2,rmse;L1,Linf,2,0.0166509601122966,39.7185219076392,4,18924,3.522180940444e-33
v_vs_i,p1,9477,2,rmse;L1,Linf,1,0.000461711926593727,2.18513717264548,2,9461,0.112519060722631
v_vs_i,p2,9477,2,rmse;L1,Linf,1,0.0121203275154138,58.0386568411342,2,9461,8.86143768599793e-26
v_vs_i,Residuals,9477,2,rmse;L1,Linf,9462,,,,,
iii_vs_ii,design_block,9477,2,rmse;L1,Linf,2,0.00810652044771083,19.2540156548633,4,18924,8.03673457427917e-16
iii_vs_ii,G,9477,2,rmse;L1,Linf,2,0.0083422260672565,19.8161913360539,4,18924,2.69726459518689e-16
iii_vs_ii,theta_true,9477,2,rmse;L1,Linf,2,0.0038651190696736,9.16064264660482,4,18924,2.16820230898904e-07
iii_vs_ii,theta_CV,9477,2,rmse;L1,Linf,2,0.000243424637008527,0.575891071881235,4,18924,0.680123556921237
iii_vs_ii,sigma,9477,2,rmse;L1,Linf,2,0.0404243941711461,97.5965450145513,4,18924,2.37201508966908e-82
iii_vs_ii,mean_nsamp,9477,2,rmse;L1,Linf,2,0.00477434621637618,11.320740542225,4,18924,3.55923229938333e-09
