"method","metric_1","metric_2","n_complete","spearman_rho","spearman_S","p_value","p_value_holm","significant_at_0.05","significant_holm_at_0.05"
"(i)","RMSE","L1",729,0.999749715955589,16160.8307362327,0,0,TRUE,TRUE
"(i)","RMSE","Linf",729,0.999740587383476,16750.2622724329,0,0,TRUE,TRUE
"(i)","L1","Linf",729,0.999970449889285,1908.04946684404,0,0,TRUE,TRUE
"(ii)","RMSE","L1",729,0.999858229552629,9154.11211593927,0,0,TRUE,TRUE
"(ii)","RMSE","Linf",729,0.999858864858615,9113.09043384719,0,0,TRUE,TRUE
"(ii)","L1","Linf",729,0.999981794648907,1175.51879183826,0,0,TRUE,TRUE
"(iii)","RMSE","L1",729,0.999875040581551,8068.62465090601,0,0,TRUE,TRUE
"(iii)","RMSE","Linf",729,0.999874669252227,8092.60137050068,0,0,TRUE,TRUE
"(iii)","L1","Linf",729,0.999980795650221,1240.02409708332,0,0,TRUE,TRUE
"(iv)","RMSE","L1",729,0.99987752598943,7908.14196354273,0,0,TRUE,TRUE
"(iv)","RMSE","Linf",729,0.999864439749174,8753.1199734144,0,0,TRUE,TRUE
"(iv)","L1","Linf",729,0.999979262349472,1339.02926506629,0,0,TRUE,TRUE
"(v)","RMSE","L1",729,0.999846311326229,9923.671517866,0,0,TRUE,TRUE
"(v)","RMSE","Linf",729,0.999849370382467,9726.14837894148,0,0,TRUE,TRUE
"(v)","L1","Linf",729,0.999978813184231,1368.0318467613,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","L1",729,0.999901463324332,6362.50920644108,0,0,TRUE,TRUE
"All methods (experiment mean)","RMSE","Linf",729,0.999901277471521,6374.50971495782,0,0,TRUE,TRUE
"All methods (experiment mean)","L1","Linf",729,0.999992968852702,454.000899803748,0,0,TRUE,TRUE
