comparison,metric,complete_paired_rows,mean_log_difference,error_ratio,percent_error_change,Hotelling_T2,Pillai,approx_F,p_value
ii_vs_i,rmse,48114,0.132919856606226,1.14215845820771,14.2158458207706,25895.6366898838,0.349900198788873,8631.52007972203,0
ii_vs_i,L1,48114,0.130248584616836,1.13911151373141,13.9111513731406,25895.6366898838,0.349900198788873,8631.52007972203,0
ii_vs_i,Linf,48114,0.132029217312005,1.14114165987209,14.114165987209,25895.6366898838,0.349900198788873,8631.52007972203,0
iii_vs_i,rmse,48114,-0.0343938764502591,0.966190869850799,-3.38091301492014,2292.13735883627,0.0454742805781571,764.014025807105,0
iii_vs_i,L1,48114,-0.032621221105332,0.967905112191994,-3.20948878080058,2292.13735883627,0.0454742805781571,764.014025807105,0
iii_vs_i,Linf,48114,-0.0400300225921722,0.960760594195831,-3.92394058041694,2292.13735883627,0.0454742805781571,764.014025807105,0
iv_vs_i,rmse,48114,-0.0126657552172205,0.987414117887036,-1.25858821129637,4910.14692161054,0.0926038382608581,1636.64760422065,0
iv_vs_i,L1,48114,-0.00785347050261773,0.992177287425355,-0.782271257464506,4910.14692161054,0.0926038382608581,1636.64760422065,0
iv_vs_i,Linf,48114,-0.0206254340507007,0.979585815351112,-2.0414184648888,4910.14692161054,0.0926038382608581,1636.64760422065,0
v_vs_i,rmse,48114,-0.0399907328074537,0.960798343014309,-3.92016569856909,3044.65957849331,0.0595152241830328,1014.84433854254,0
v_vs_i,L1,48114,-0.0387549086618227,0.961986454803094,-3.80135451969065,3044.65957849331,0.0595152241830328,1014.84433854254,0
v_vs_i,Linf,48114,-0.0438987490488093,0.957050854876881,-4.29491451231191,3044.65957849331,0.0595152241830328,1014.84433854254,0
iii_vs_ii,rmse,48114,-0.167313733056485,0.845934172187422,-15.4065827812578,62872.8486615646,0.566494282106958,20956.7450374225,0
iii_vs_ii,L1,48114,-0.162869805722168,0.84970180752665,-15.029819247335,62872.8486615646,0.566494282106958,20956.7450374225,0
iii_vs_ii,Linf,48114,-0.172059239904177,0.84192929588034,-15.807070411966,62872.8486615646,0.566494282106958,20956.7450374225,0
iv_vs_ii,rmse,48114,-0.145585611823446,0.864515874125296,-13.5484125874704,44723.9383745796,0.481747235072821,14907.3597512758,0
iv_vs_ii,L1,48114,-0.138102055119453,0.871009796200957,-12.8990203799044,44723.9383745796,0.481747235072821,14907.3597512758,0
iv_vs_ii,Linf,48114,-0.152654651362706,0.858426126920047,-14.1573873079953,44723.9383745796,0.481747235072821,14907.3597512758,0
v_vs_ii,rmse,48114,-0.17291058941368,0.841212824814176,-15.8787175185824,71299.4821595245,0.597085672034475,23765.506108376,0
v_vs_ii,L1,48114,-0.169003493278658,0.844505953286258,-15.5494046713742,71299.4821595245,0.597085672034475,23765.506108376,0
v_vs_ii,Linf,48114,-0.175927966360814,0.838678394218082,-16.1321605781918,71299.4821595245,0.597085672034475,23765.506108376,0
iv_vs_iii,rmse,48114,0.0217281212330386,1.0219658958685,2.19658958684994,22045.2648652322,0.31422192250021,7348.11615662563,0
iv_vs_iii,L1,48114,0.0247677506027143,1.02507701935616,2.50770193561558,22045.2648652322,0.31422192250021,7348.11615662563,0
iv_vs_iii,Linf,48114,0.0194045885414715,1.01959408126125,1.95940812612516,22045.2648652322,0.31422192250021,7348.11615662563,0
v_vs_iii,rmse,48114,-0.00559685635719458,0.994418776864118,-0.558122313588227,1449.25868556456,0.0292411751199441,483.066147203435,1.24816520637349e-308
v_vs_iii,L1,48114,-0.0061336875564907,0.993885085103542,-0.611491489645799,1449.25868556456,0.0292411751199441,483.066147203435,1.24816520637349e-308
v_vs_iii,Linf,48114,-0.00386872645663713,0.996138747424321,-0.386125257567915,1449.25868556456,0.0292411751199441,483.066147203435,1.24816520637349e-308
v_vs_iv,rmse,48114,-0.0273249775902332,0.973044972326624,-2.69550276733759,24129.6306275339,0.334008194578913,8042.87586252698,0
v_vs_iv,L1,48114,-0.030901438159205,0.969571131082223,-3.04288689177767,24129.6306275339,0.334008194578913,8042.87586252698,0
v_vs_iv,Linf,48114,-0.0232733149981086,0.976995419777333,-2.30045802226668,24129.6306275339,0.334008194578913,8042.87586252698,0
