comparison,term,rows_analyzed,Df,Pillai,approx F,num Df,den Df,Pr(>F)
ii_vs_i,design_block,48114,2,0.00623398482833697,50.1299550685633,6,96196,6.99690645748028e-62
ii_vs_i,G,48114,2,0.0558045890947557,460.188502867588,6,96196,0
ii_vs_i,theta_true,48114,2,0.0277482454397632,225.568753427107,6,96196,3.21645173596078e-287
ii_vs_i,theta_CV,48114,2,0.00036357955312192,2.91510482726489,6,96196,0.00764330353915413
ii_vs_i,sigma,48114,2,0.226235485823014,2044.89271455222,6,96196,0
ii_vs_i,mean_nsamp,48114,2,0.0365904809906673,298.787888729587,6,96196,0
ii_vs_i,p1,48114,1,0.00648566796374801,104.659175344775,3,48097,1.5580455259215e-67
ii_vs_i,p2,48114,1,0.0151966739375225,247.397765296421,3,48097,2.51232650258727e-159
ii_vs_i,Residuals,48114,48099,,,,,
iii_vs_i,design_block,48114,2,0.0229965693228916,186.492509173106,6,96196,4.07724599107516e-237
iii_vs_i,G,48114,2,0.0427823747299364,350.454412630199,6,96196,0
iii_vs_i,theta_true,48114,2,0.0155341287406213,125.501532509306,6,96196,9.30817602568854e-159
iii_vs_i,theta_CV,48114,2,0.00119537847183222,9.58828310329942,6,96196,1.43778237264699e-10
iii_vs_i,sigma,48114,2,0.238974542607029,2175.66371193159,6,96196,0
iii_vs_i,mean_nsamp,48114,2,0.0368941408590661,301.314093477008,6,96196,0
iii_vs_i,p1,48114,1,0.0026022154890561,41.8284327212206,3,48097,5.50548912055751e-27
iii_vs_i,p2,48114,1,0.00670806621603059,108.27225102672,3,48097,7.27234717248795e-70
iii_vs_i,Residuals,48114,48099,,,,,
iv_vs_i,design_block,48114,2,0.0282794850224725,229.949200926918,6,96196,7.88047878337769e-293
iv_vs_i,G,48114,2,0.0594244884960877,490.953848611947,6,96196,0
iv_vs_i,theta_true,48114,2,0.032030698186352,260.947925686198,6,96196,0
iv_vs_i,theta_CV,48114,2,0.00161297883742298,12.9406124874378,6,96196,1.11046017957226e-14
iv_vs_i,sigma,48114,2,0.290297987857303,2722.25852240017,6,96196,0
iv_vs_i,mean_nsamp,48114,2,0.0389600524148692,318.521575479708,6,96196,0
iv_vs_i,p1,48114,1,0.00185250950441581,29.7551716161869,3,48097,3.28002351220061e-19
iv_vs_i,p2,48114,1,0.00490143623429479,78.9685186791146,3,48097,5.92762920506405e-51
iv_vs_i,Residuals,48114,48099,,,,,
v_vs_i,design_block,48114,2,0.0199529230529901,161.561090167352,6,96196,4.18056169199286e-205
v_vs_i,G,48114,2,0.0346123180219925,282.350277502896,6,96196,0
v_vs_i,theta_true,48114,2,0.0132187556549017,106.670980394227,6,96196,1.53720700313859e-134
v_vs_i,theta_CV,48114,2,0.000575105434686785,4.61156293371362,6,96196,0.000108594221238041
v_vs_i,sigma,48114,2,0.128344429554031,1099.40284422789,6,96196,0
v_vs_i,mean_nsamp,48114,2,0.0323893583165107,263.917959394416,6,96196,0
v_vs_i,p1,48114,1,0.000772100030617351,12.3881299330348,3,48097,4.27622624736249e-08
v_vs_i,p2,48114,1,0.00176010427948784,28.2683337253395,3,48097,2.96382170446267e-18
v_vs_i,Residuals,48114,48099,,,,,
iii_vs_ii,design_block,48114,2,0.0173205198597293,140.060016853946,6,96196,1.78223082150267e-177
iii_vs_ii,G,48114,2,0.0471527661427536,387.119160613931,6,96196,0
iii_vs_ii,theta_true,48114,2,0.032924457754052,268.351085159018,6,96196,0
iii_vs_ii,theta_CV,48114,2,0.000575899705325032,4.6179337377933,6,96196,0.000106812388741162
iii_vs_ii,sigma,48114,2,0.0453017787136823,371.57056246033,6,96196,0
iii_vs_ii,mean_nsamp,48114,2,0.0471369690001966,386.986337321487,6,96196,0
iii_vs_ii,p1,48114,1,0.00998778472581783,161.74294772872,3,48097,2.54375762942741e-104
iii_vs_ii,p2,48114,1,0.030133450030571,498.119576748663,3,48097,1.11253692929576e-308
iii_vs_ii,Residuals,48114,48099,,,,,
iv_vs_ii,design_block,48114,2,0.0165719582312306,133.956300274098,6,96196,1.25237143552796e-169
iv_vs_ii,G,48114,2,0.023482412780801,190.479305156773,6,96196,3.12262702943301e-242
iv_vs_ii,theta_true,48114,2,0.00187373932864231,15.034604503047,6,96196,2.79706092045801e-17
iv_vs_ii,theta_CV,48114,2,0.000859031124997668,6.88923887700108,6,96196,2.49589324206412e-07
iv_vs_ii,sigma,48114,2,0.0212196177458835,171.927648547986,6,96196,2.02859630540952e-218
iv_vs_ii,mean_nsamp,48114,2,0.0870182084219067,729.298070531061,6,96196,0
iv_vs_ii,p1,48114,1,0.00927243398592932,150.050081953242,3,48097,8.57576002483309e-97
iv_vs_ii,p2,48114,1,0.0275004053718612,453.363341392504,3,48097,1.66696651671119e-290
iv_vs_ii,Residuals,48114,48099,,,,,
v_vs_ii,design_block,48114,2,0.0122696355394131,98.9646182611289,6,96196,1.2552729014371e-124
v_vs_ii,G,48114,2,0.0309109595965044,251.682428467533,6,96196,1.1125369292542e-308
v_vs_ii,theta_true,48114,2,0.0174902698630178,141.444787060104,6,96196,2.95748171468006e-179
v_vs_ii,theta_CV,48114,2,0.000120554536236374,0.966463603101915,6,96196,0.446110434985627
v_vs_ii,sigma,48114,2,0.135823939113022,1168.14070668658,6,96196,0
v_vs_ii,mean_nsamp,48114,2,0.0687172755653019,570.460844205214,6,96196,0
v_vs_ii,p1,48114,1,0.00941334085573751,152.351959302422,3,48097,2.82490754602012e-98
v_vs_ii,p2,48114,1,0.0233181637975893,382.770069911223,3,48097,1.01139567656919e-245
v_vs_ii,Residuals,48114,48099,,,,,
iv_vs_iii,design_block,48114,2,0.016172083630647,130.697639657243,6,96196,1.93852455377057e-165
iv_vs_iii,G,48114,2,0.115188818299062,979.824369382972,6,96196,0
iv_vs_iii,theta_true,48114,2,0.151151673458235,1310.74267254664,6,96196,0
iv_vs_iii,theta_CV,48114,2,0.000802604538056146,6.43652850539796,6,96196,8.52584970679844e-07
iv_vs_iii,sigma,48114,2,0.0627977570974447,519.726585412732,6,96196,0
iv_vs_iii,mean_nsamp,48114,2,0.132569170735398,1138.16120595699,6,96196,0
iv_vs_iii,p1,48114,1,0.00491571464346277,79.1996988549622,3,48097,4.20384040247407e-51
iv_vs_iii,p2,48114,1,0.0123568962699913,200.588531644403,3,48097,2.68309759232433e-129
iv_vs_iii,Residuals,48114,48099,,,,,
v_vs_iii,design_block,48114,2,0.0199218941339598,161.307317661947,6,96196,8.85575595859878e-205
v_vs_iii,G,48114,2,0.046695229037988,383.273032052751,6,96196,0
v_vs_iii,theta_true,48114,2,0.0140353704799591,113.307363637559,6,96196,4.47836127077867e-143
v_vs_iii,theta_CV,48114,2,0.00205986307905305,16.5295733916866,6,96196,3.81386532952796e-19
v_vs_iii,sigma,48114,2,0.267113169424016,2471.33069054986,6,96196,0
v_vs_iii,mean_nsamp,48114,2,0.0364869615083924,297.926868870167,6,96196,0
v_vs_iii,p1,48114,1,0.019807744456611,323.981708602488,3,48097,2.75975331965577e-208
v_vs_iii,p2,48114,1,0.0579606215696975,986.417369049856,3,48097,0
v_vs_iii,Residuals,48114,48099,,,,,
v_vs_iv,design_block,48114,2,0.0615685308248877,509.230141776368,6,96196,0
v_vs_iv,G,48114,2,0.0468588830238924,384.648526091924,6,96196,0
v_vs_iv,theta_true,48114,2,0.039275180940733,321.14954540021,6,96196,0
v_vs_iv,theta_CV,48114,2,0.00276042885865497,22.1591021865099,6,96196,3.20194345781376e-26
v_vs_iv,sigma,48114,2,0.33055182250115,3174.47840409155,6,96196,0
v_vs_iv,mean_nsamp,48114,2,0.0134347124057787,108.42546535444,6,96196,8.51346487031294e-137
v_vs_iv,p1,48114,1,0.015205313275759,247.540582987516,3,48097,2.03505436366505e-159
v_vs_iv,p2,48114,1,0.0485349061656277,817.820642072712,3,48097,0
v_vs_iv,Residuals,48114,48099,,,,,
