"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
1,"hake_ex1.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
2,"hake_ex2.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
3,"hake_ex3.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
4,"hake_ex4.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
5,"hake_ex5.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
6,"hake_ex6.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
7,"hake_ex7.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
8,"hake_ex8.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
9,"hake_ex9.inp","Poisson",1,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
10,"hake_ex10.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
11,"hake_ex11.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
12,"hake_ex12.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
13,"hake_ex13.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
14,"hake_ex14.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
15,"hake_ex15.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
16,"hake_ex16.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
17,"hake_ex17.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
18,"hake_ex18.inp","Poisson",1,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
19,"hake_ex19.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
20,"hake_ex20.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
21,"hake_ex21.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
22,"hake_ex22.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
23,"hake_ex23.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
24,"hake_ex24.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
