comparison,term,rows_analyzed,residual_response_rank,manova_responses,dropped_responses,Df,Pillai,approx F,num Df,den Df,Pr(>F)
ii_vs_i,design_block,637997,3,rmse;L1;Linf,"",2,0.00161196521148443,171.538786876441,6,1275962,5.22362214329492e-219
ii_vs_i,G,637997,3,rmse;L1;Linf,"",2,0.0606701590955476,6652.88389035889,6,1275962,0
ii_vs_i,theta_true,637997,3,rmse;L1;Linf,"",2,0.0088064745344828,940.535305103901,6,1275962,0
ii_vs_i,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000170997495137274,18.1837468451103,6,1275962,3.14873462931389e-21
ii_vs_i,sigma,637997,3,rmse;L1;Linf,"",2,0.0526200435914766,5746.28283163373,6,1275962,0
ii_vs_i,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.00906347822086375,968.108364341971,6,1275962,0
ii_vs_i,p1,637997,3,rmse;L1;Linf,"",1,1.45406135644323e-06,0.309221137687725,3,637980,0.818747362854853
ii_vs_i,p2,637997,3,rmse;L1;Linf,"",1,5.88848533615867e-07,0.125224602897074,3,637980,0.945220540258948
ii_vs_i,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
iii_vs_i,design_block,637997,3,rmse;L1;Linf,"",2,0.00215555027677801,229.447312797488,6,1275962,3.91701140170423e-294
iii_vs_i,G,637997,3,rmse;L1;Linf,"",2,0.0520071684936301,5677.56801190366,6,1275962,0
iii_vs_i,theta_true,637997,3,rmse;L1;Linf,"",2,0.00542957360112989,578.89905344623,6,1275962,0
iii_vs_i,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000424386078567877,45.1346197172702,6,1275962,1.47759349143094e-55
iii_vs_i,sigma,637997,3,rmse;L1;Linf,"",2,0.0632132440433529,6940.85164925699,6,1275962,0
iii_vs_i,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.0102107234969626,1091.27930684938,6,1275962,0
iii_vs_i,p1,637997,3,rmse;L1;Linf,"",1,2.92781580638122e-06,0.6226311323343,3,637980,0.600273437988046
iii_vs_i,p2,637997,3,rmse;L1;Linf,"",1,1.62179675275244e-05,3.44896890966912,3,637980,0.0158367553357877
iii_vs_i,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
iv_vs_i,design_block,637997,3,rmse;L1;Linf,"",2,0.0027079993636885,288.332425686871,6,1275962,0
iv_vs_i,G,637997,3,rmse;L1;Linf,"",2,0.057122903873025,6252.46743750359,6,1275962,0
iv_vs_i,theta_true,637997,3,rmse;L1;Linf,"",2,0.00951393127413109,1016.45313064775,6,1275962,0
iv_vs_i,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000469804132011056,49.9660887949124,6,1275962,9.20051791474483e-62
iv_vs_i,sigma,637997,3,rmse;L1;Linf,"",2,0.0652806048006481,7175.50835100662,6,1275962,0
iv_vs_i,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.0123344652383459,1319.6644220073,6,1275962,0
iv_vs_i,p1,637997,3,rmse;L1;Linf,"",1,6.55446849068015e-06,1.39388240538635,3,637980,0.242506833365653
iv_vs_i,p2,637997,3,rmse;L1;Linf,"",1,1.65038269412962e-05,3.50976176183678,3,637980,0.0145640748674998
iv_vs_i,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
v_vs_i,design_block,637997,3,rmse;L1;Linf,"",2,0.00258294210908554,274.999819255991,6,1275962,0
v_vs_i,G,637997,3,rmse;L1;Linf,"",2,0.0547734853482971,5988.06748944759,6,1275962,0
v_vs_i,theta_true,637997,3,rmse;L1;Linf,"",2,0.00606304036415207,646.644408000497,6,1275962,0
v_vs_i,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000189022844045662,20.1007302597831,6,1275962,1.21979368992225e-23
v_vs_i,sigma,637997,3,rmse;L1;Linf,"",2,0.0340522353803292,3683.49549110573,6,1275962,0
v_vs_i,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.0115673335427531,1237.11154442182,6,1275962,0
v_vs_i,p1,637997,3,rmse;L1;Linf,"",1,3.58648031549143e-06,0.762703639313997,3,637980,0.514802809060209
v_vs_i,p2,637997,3,rmse;L1;Linf,"",1,4.18294832777689e-06,0.889549512324678,3,637980,0.445582064759418
v_vs_i,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
iii_vs_ii,design_block,637997,3,rmse;L1;Linf,"",2,0.000489500122445248,52.0613716268499,6,1275962,1.86207178502411e-64
iii_vs_ii,G,637997,3,rmse;L1;Linf,"",2,0.0185301577601918,1988.7406015462,6,1275962,0
iii_vs_ii,theta_true,637997,3,rmse;L1;Linf,"",2,0.00549800309374801,586.215091485369,6,1275962,0
iii_vs_ii,theta_CV,637997,3,rmse;L1;Linf,"",2,9.11628853017473e-05,9.6938066456407,6,1275962,1.06266503449411e-10
iii_vs_ii,sigma,637997,3,rmse;L1;Linf,"",2,0.00172894067922861,183.997611056476,6,1275962,3.62967953577962e-235
iii_vs_ii,mean_nsamp,637997,3,rmse;L1;Linf,"",2,0.00139621106677351,148.563068131791,6,1275962,3.20328034721384e-189
iii_vs_ii,p1,637997,3,rmse;L1;Linf,"",1,5.32389786353739e-07,0.113218072242132,3,637980,0.952405891820286
iii_vs_ii,p2,637997,3,rmse;L1;Linf,"",1,9.95920756893405e-06,2.11794617467509,3,637980,0.0956095667953253
iii_vs_ii,Residuals,637997,3,rmse;L1;Linf,"",637982,,,,,
iv_vs_ii,design_block,637997,3,rmse;L1;Linf,"",2,0.000651254609117925,69.2705675181301,6,1275962,1.2630741878215e-86
iv_vs_ii,G,637997,3,rmse;L1;Linf,"",2,0.00684605772981969,730.442786162549,6,1275962,0
iv_vs_ii,theta_true,637997,3,rmse;L1;Linf,"",2,0.000432303738549065,45.9768665561947,6,1275962,1.225684665717e-56
iv_vs_ii,theta_CV,637997,3,rmse;L1;Linf,"",2,0.000105411866299079,11.2090520957759,6,1275962,1.49423319161527e-12
