"p1","p2","p3","rmse_ii","rmse_iii","Sample size by group"
0.05,0.05,0.9,0.0236056290161692,0.0323213833674653,"26-52-79-121-92-59-195-24-24-36"
0.05,0.1,0.85,0.715308791129164,0.0121677459419815,"46-190-162-182-169-80-154-127-67-172"
0.05,0.15,0.8,0.0395049915090572,0.0306863839663075,"163-22-117-23-27-142-178-173-139-23"
0.05,0.2,0.75,0.00145874544574633,0.0133208131813961,"109-50-28-129-85-45-22-78-124-114"
0.05,0.25,0.7,0.0380444382903783,0.0227636966803292,"55-179-116-164-51-39-45-114-21-39"
0.05,0.3,0.65,0.0191519434305474,0.0299965298144843,"86-65-46-171-102-39-52-56-50-183"
0.05,0.35,0.6,0.0198265286854912,0.0314662459274474,"189-50-120-22-25-196-33-26-109-46"
0.05,0.4,0.55,0.0692758398373327,0.0163088122684387,"23-138-21-92-37-30-80-116-162-104"
0.05,0.45,0.5,0.0230856946238112,0.017337022623428,"131-83-27-42-22-34-71-106-82-48"
0.05,0.5,0.45,0.023170876196608,0.0105924016899513,"145-112-23-32-45-132-29-25-30-23"
0.05,0.55,0.4,0.0473488402501865,0.00567975281481296,"35-125-20-59-74-84-118-132-37-192"
0.05,0.6,0.35,0.0212921468581299,0.0462417550613251,"27-146-61-41-162-30-150-55-107-120"
0.05,0.65,0.3,0.0329082013933879,0.0299317378512023,"62-38-22-42-30-157-108-51-62-109"
0.05,0.7,0.25,0.0340647291784269,0.014727343551901,"62-62-42-80-36-98-78-39-56-33"
0.05,0.75,0.2,0.00744914997859519,0.0395324617937161,"28-24-152-196-36-112-64-163-53-29"
0.05,0.8,0.15,0.0392570969545401,0.00875212895457696,"61-34-44-169-26-27-33-70-91-112"
0.05,0.85,0.1,0.0494095123212158,0.0380034075392711,"73-33-98-64-75-28-81-53-55-34"
0.05,0.9,0.05,0.0836139432387288,0.044130565064193,"25-31-47-68-80-186-32-60-165-37"
0.1,0.05,0.85,0.0230490421284089,0.0130284734685875,"43-57-26-32-116-55-144-67-115-29"
0.1,0.1,0.8,0.0255307229196598,0.0120035696683562,"31-74-38-144-181-95-171-26-127-57"
0.1,0.15,0.75,0.0520228436742963,0.0614392387659703,"153-23-22-26-49-35-46-47-63-22"
0.1,0.2,0.7,0.019694007409647,0.0122506871074846,"23-22-72-66-188-55-75-175-183-73"
0.1,0.25,0.65,0.0153426712671954,0.0111689266037415,"80-89-41-36-139-67-46-46-93-158"
0.1,0.3,0.6,0.0643097881972127,0.0166939693705865,"56-61-80-140-59-120-43-55-141-120"
0.1,0.35,0.55,0.0518611403210859,0.0103120877703983,"132-61-80-38-110-180-38-135-43-56"
0.1,0.4,0.5,0.0210446152288718,0.0163024603573899,"66-50-39-23-90-37-97-125-21-69"
0.1,0.45,0.45,0.0464008000197376,0.0174474200497663,"30-91-46-44-52-92-127-25-43-74"
0.1,0.5,0.4,0.0321331353527453,0.0258373614834434,"191-115-92-91-28-173-105-54-60-90"
0.1,0.55,0.35,0.0809314418881978,0.014606141854975,"47-39-90-50-32-32-117-28-128-112"
0.1,0.6,0.3,0.0539313515180524,0.0676145167576663,"47-121-179-51-31-77-31-64-25-59"
0.1,0.65,0.25,0.0394125119154391,0.0402952201823059,"24-50-31-53-68-42-37-99-52-103"
0.1,0.7,0.2,0.0510684678462101,0.0219039315968054,"55-197-56-56-121-43-103-31-33-156"
0.1,0.75,0.15,0.0864095763356394,0.0282926779734709,"142-115-65-78-157-30-41-132-133-143"
0.1,0.8,0.1,0.034395640239636,0.0427424777859096,"27-84-71-111-64-121-22-51-25-61"
0.1,0.85,0.05,0.0447037337415008,0.0436391154766239,"60-27-113-47-61-24-31-25-51-23"
0.15,0.05,0.8,0.00347822547764034,0.0208852783250155,"104-165-97-190-137-37-60-179-34-27"
0.15,0.1,0.75,0.0561055425992196,0.0463115443889732,"69-43-34-177-67-163-43-21-84-96"
0.15,0.15,0.7,0.061187344886788,0.0480797563920934,"76-45-47-31-45-180-75-29-111-76"
0.15,0.2,0.65,0.0387581401088282,0.0378034970531189,"130-87-23-109-29-27-42-99-167-106"
0.15,0.25,0.6,0.0889743740307201,0.116150863601039,"82-102-69-21-50-87-80-108-77-41"
0.15,0.3,0.55,0.0661425469434377,0.0509936020055095,"163-83-31-172-63-95-55-68-38-31"
0.15,0.35,0.5,0.0441780565512334,0.0583594400251154,"21-102-62-45-179-196-70-87-27-60"
0.15,0.4,0.45,0.0383777645872063,0.04144044525466,"140-87-67-157-24-119-72-41-22-40"
0.15,0.45,0.4,0.0592660949298135,0.0392540849298184,"183-49-41-69-130-34-27-137-22-33"
0.15,0.5,0.35,0.0427175069527827,0.0645336775017045,"115-29-30-50-34-45-45-112-92-30"
0.15,0.55,0.3,0.0670228475415221,0.003527072551595,"32-21-47-109-23-77-108-23-22-69"
0.15,0.6,0.25,0.0867297856070771,0.0890636971151066,"69-146-53-97-169-70-51-47-157-34"
0.15,0.65,0.2,0.0564339810119269,0.0351104396016937,"21-29-137-142-37-82-46-72-67-38"
0.15,0.7,0.15,0.0348417579150126,0.0225718567590893,"46-30-51-124-21-42-35-29-138-58"
0.15,0.75,0.1,0.0486728039952096,0.0400857219426238,"62-132-99-52-185-125-83-61-34-93"
0.15,0.8,0.05,0.035826971457174,0.00793805056514288,"25-139-41-31-23-192-57-49-36-34"
0.2,0.05,0.75,0.0537144356820433,0.0385783146639203,"24-147-145-82-59-42-21-86-98-172"
0.2,0.1,0.7,0.0477554278495962,0.0427266640124647,"73-47-91-28-143-49-42-180-50-27"
0.2,0.15,0.65,0.0661431946085544,0.0172460041669597,"23-57-27-126-186-44-72-124-109-171"
0.2,0.2,0.6,0.0110327018035981,0.0253905341135513,"34-46-179-180-61-175-35-22-43-144"
0.2,0.25,0.55,0.0925239083852637,0.040836224030359,"84-122-21-129-20-180-30-21-136-57"
0.2,0.3,0.5,0.0227336894946193,0.0273788448269248,"63-27-116-26-52-32-52-135-39-124"
0.2,0.35,0.45,0.0532379195678353,0.0492026588348576,"33-40-84-92-87-163-44-86-53-39"
0.2,0.4,0.4,0.048728677559925,0.0463176414824345,"98-73-63-110-107-23-47-24-121-27"
0.2,0.45,0.35,0.0467709152845264,0.0393394565730691,"51-184-118-40-45-25-42-153-43-46"
0.2,0.5,0.3,0.0549715271593685,0.0420174832833367,"33-73-65-26-117-79-49-50-99-85"
