"p1","p2","p3","p4","p5","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.84,0.04,0.04,0.04,0.04,0.0545187993371475,0.0545190394003959,0.0545184563713468,0.0545190477895216,447
0.8,0.08,0.04,0.04,0.04,0.0656770122202044,0.0656766308114399,0.0656763120570869,0.0656770080603182,70
0.76,0.12,0.04,0.04,0.04,0.029845479444141,0.0298454873406334,0.0298447489510336,0.0298455353647146,333
0.72,0.16,0.04,0.04,0.04,0.0201569344971847,0.0201766367034167,0.0201575079603404,0.0201564131664227,220
0.68,0.2,0.04,0.04,0.04,0.04585967861723,0.0458591770695896,0.0458593843308857,0.0458595394948635,246
0.64,0.24,0.04,0.04,0.04,0.0742623179263485,0.0742623744670092,0.0742617630784114,0.0742624052023182,562
0.6,0.28,0.04,0.04,0.04,0.112760359155832,0.112759055696982,0.112738967667892,0.112761886401703,89
0.56,0.32,0.04,0.04,0.04,0.0289197667257408,0.028972765120083,0.0289195813458339,0.0289191959271338,134
0.52,0.36,0.04,0.04,0.04,0.0467829310474289,0.046784153507944,0.0467842975807405,0.0467833918122807,171
0.48,0.4,0.04,0.04,0.04,0.0142458042317586,0.0142469414725611,0.0142464794426631,0.0142465741858546,352
0.44,0.44,0.04,0.04,0.04,0.05932643111331,0.0593267748378258,0.0593263864447247,0.0593267815874717,155
0.4,0.48,0.04,0.04,0.04,0.0591174823919243,0.0591187584284488,0.0591153122434593,0.0591186423421086,87
0.36,0.52,0.04,0.04,0.04,0.119382245518036,0.1193819603436,0.119381265247681,0.119382220112241,91
0.32,0.56,0.04,0.04,0.04,0.0887017797040515,0.0887020347106838,0.0887022407187491,0.0887022031637255,163
0.28,0.6,0.04,0.04,0.04,0.0451828308573331,0.0451829932870861,0.0451830917304847,0.0451829923803284,927
0.24,0.64,0.04,0.04,0.04,0.0294898840242463,0.0294810182426819,0.0294817415038663,0.0294811092476036,117
0.2,0.68,0.04,0.04,0.04,0.470574116851982,0.0322964422809028,0.0322966494489097,0.0322964583892692,280
0.16,0.72,0.04,0.04,0.04,0.0309698002437147,0.0309715162430664,0.0309687370887276,0.0309698975445234,247
0.12,0.76,0.04,0.04,0.04,0.123935467078637,0.0461312722937544,0.0461310520032895,0.0461320505718681,51
0.08,0.8,0.04,0.04,0.04,0.0216586488578482,0.0216576151936762,0.0216563896073346,0.0216577891083053,390
0.04,0.84,0.04,0.04,0.04,0.0223838401603511,0.0223825735165539,0.0223838565112154,0.0223841940832503,186
0.8,0.04,0.08,0.04,0.04,0.0298977709313312,0.101192881315117,0.029898212547984,0.0298982831435595,890
0.76,0.08,0.08,0.04,0.04,0.121326007104715,0.0275374142892434,0.535462416981808,0.027537628762803,695
0.72,0.12,0.08,0.04,0.04,0.0201207142615825,0.0201272225419979,0.0201234792778981,0.0201265507155219,186
0.68,0.16,0.08,0.04,0.04,0.0484537743903558,0.0484533609490712,0.0484536196476825,0.0484538726809094,120
0.64,0.2,0.08,0.04,0.04,0.0464868523801755,0.0464875036340683,0.0464869353268489,0.0464874667208916,538
0.6,0.24,0.08,0.04,0.04,0.0468312593338773,0.046830318892629,0.0468352467189701,0.0468304005935577,72
0.56,0.28,0.08,0.04,0.04,0.0306387500019902,0.0306415219279187,0.030640602640026,0.0306389424082342,302
0.52,0.32,0.08,0.04,0.04,0.339094621618075,0.0260594186957825,0.0260565470830365,0.0260596745893554,807
0.48,0.36,0.08,0.04,0.04,0.165137376402532,0.044887505616617,0.0448862975257977,0.0448873822764672,365
0.44,0.4,0.08,0.04,0.04,0.0576428473270552,0.0576422204034298,0.0576410371627071,0.0576422782041801,196
0.4,0.44,0.08,0.04,0.04,0.039942947882469,0.0399430003978236,0.0399434138278352,0.0399429834691264,370
0.36,0.48,0.08,0.04,0.04,0.0363644084062786,0.0363634963446424,0.0363622017994285,0.0363643625532653,52
0.32,0.52,0.08,0.04,0.04,0.385331026521051,0.0527792851394033,0.0527823802273159,0.0527825261293521,332
0.28,0.56,0.08,0.04,0.04,0.032533978215257,0.0325339702822426,0.0325326196927678,0.0325331877395725,680
0.24,0.6,0.08,0.04,0.04,0.435247056008305,0.02028687847944,0.0202868143855606,0.0202869390638766,590
0.2,0.64,0.08,0.04,0.04,0.0357343169898361,0.0357342365988258,0.0357345358169609,0.0357339823622426,219
0.16,0.68,0.08,0.04,0.04,0.0244288780920186,0.0244337060001799,0.0244330412498494,0.0244337512220853,282
0.12,0.72,0.08,0.04,0.04,0.0288337965027895,0.02883355108341,0.0288338627088417,0.0288337327708026,943
0.08,0.76,0.08,0.04,0.04,0.0177067729120921,0.017707857129782,0.0177060288202388,0.0177068169742815,867
0.04,0.8,0.08,0.04,0.04,0.0360891287435835,0.0360870134916825,0.0360895092500379,0.0360879212233516,81
0.76,0.04,0.12,0.04,0.04,0.0197713460122644,0.0197709442827117,0.019771209769373,0.019771209452343,234
0.72,0.08,0.12,0.04,0.04,0.143108350559202,0.044933227897566,0.0449326401706651,0.0449328933170806,164
0.68,0.12,0.12,0.04,0.04,0.171457081794244,0.0372618087270864,0.0372555433152809,0.0372560397175535,157
0.64,0.16,0.12,0.04,0.04,0.039961572012681,0.0399617082554776,0.0399621542965956,0.0399616848491636,630
0.6,0.2,0.12,0.04,0.04,0.0127500710950322,0.0127506966069002,0.0127503782820964,0.0127502660810891,127
0.56,0.24,0.12,0.04,0.04,0.0338894060313388,0.033889560086675,0.0338901289896895,0.0338895730102422,438
0.52,0.28,0.12,0.04,0.04,0.0396053904843173,0.0396051569462878,0.0396039008607765,0.0396047100462968,880
0.48,0.32,0.12,0.04,0.04,0.0753095395389557,0.47125364720074,0.0753093001548403,0.0753090565157126,274
0.44,0.36,0.12,0.04,0.04,0.352363377536528,0.0292187164199724,0.0292290889355749,0.0292190709834985,195
0.4,0.4,0.12,0.04,0.04,0.0327483573019642,0.0687433758302931,0.0327480017816136,0.0327480400582145,589
0.36,0.44,0.12,0.04,0.04,0.0998532555181789,0.0998541068466764,0.0998540821168512,0.0998536963156774,154
0.32,0.48,0.12,0.04,0.04,0.0146058685800653,0.0146056883366162,0.0146053349277659,0.0146059348668044,285
0.28,0.52,0.12,0.04,0.04,0.0594004125787539,0.0594015810593797,0.0593997359749711,0.059399980092542,79
0.24,0.56,0.12,0.04,0.04,0.0300781752995614,0.425435043107887,0.030078187330296,0.0300781866457035,843
0.2,0.6,0.12,0.04,0.04,0.0433309730774395,0.0433308933912207,0.0433275185666352,0.0433309063370153,81
0.16,0.64,0.12,0.04,0.04,0.0317216506904729,0.0317219434038615,0.0317210642994598,0.0317219323455482,132
0.12,0.68,0.12,0.04,0.04,0.0303242289486768,0.0303245873896256,0.0303233936255521,0.0303242761477673,925
0.08,0.72,0.12,0.04,0.04,0.0298702075689843,0.029871146314821,0.0298702840536719,0.0298702338222433,473
0.04,0.76,0.12,0.04,0.04,0.0365045863490832,0.0365028847856292,0.0365045281112804,0.0365046300347605,122
0.72,0.04,0.16,0.04,0.04,0.02816064907364,0.0281596112664804,0.0281630011418493,0.0281599552996448,157
0.68,0.08,0.16,0.04,0.04,0.039083830119627,0.0390843659146719,0.0390796691035725,0.039084161246686,86
0.64,0.12,0.16,0.04,0.04,0.0612121812970189,0.185903200617956,0.0612117217980495,0.0612122160026875,927
0.6,0.16,0.16,0.04,0.04,0.429269767092038,0.0428355928295735,0.0428352597922529,0.0428356411145829,231
0.56,0.2,0.16,0.04,0.04,0.0274590498127936,0.0274535264573202,0.0274538862510496,0.0274539876294273,726
0.52,0.24,0.16,0.04,0.04,0.455092922152796,0.0514848845969994,0.0514849324701107,0.0514849778852609,210
0.48,0.28,0.16,0.04,0.04,0.0500365459195845,0.05003901626808,0.0500362205326732,0.0500367288630681,73
0.44,0.32,0.16,0.04,0.04,0.0508585987239378,0.0508728020520482,0.0508736182140856,0.0508736179173449,160
0.4,0.36,0.16,0.04,0.04,0.435695221115619,0.0446902478740193,0.0446901132412186,0.0446902155232178,216
0.36,0.4,0.16,0.04,0.04,0.0413708798290023,0.0413698482481535,0.0413702575332039,0.0413701286141298,197
0.32,0.44,0.16,0.04,0.04,0.0417455554386524,0.0417460548399574,0.0417480424705425,0.0417460112268448,89
0.28,0.48,0.16,0.04,0.04,0.103731259289838,0.10373057034754,0.103731720853947,0.10373041983912,100
0.24,0.52,0.16,0.04,0.04,0.505331574314196,0.0328278174246835,0.0328259734918969,0.0328272748088922,306
0.2,0.56,0.16,0.04,0.04,0.0303999156806752,0.201170520212113,0.0304003665556438,0.0303998846515954,781
0.16,0.6,0.16,0.04,0.04,0.0365176427901893,0.0364976185084914,0.0365201023114489,0.036517709035059,743
