"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","Sample size by group"
0.02,0.02,0.96,0.00709787072118512,0.00616654785162175,0.00783151930728512,"96-210-382-72-157-75-214-98-135-119"
0.02,0.04,0.94,0.00668415022896317,0.00695786812062782,0.00284652435197587,"218-140-112-212-312-126-355-323-55-416"
0.02,0.06,0.92,0.0237331605354512,0.0173644753169684,0.0157492779034909,"216-195-290-316-367-52-90-177-79-198"
0.02,0.08,0.9,0.02652945842006,0.0356041524837733,0.025767461705429,"157-228-145-154-157-162-137-58-350-157"
0.02,0.1,0.88,0.023883460336151,0.0291126672469276,0.0122624344712112,"422-78-425-490-421-236-76-81-348-117"
0.02,0.12,0.86,0.0188717656919477,0.0391401730218268,0.0187370299409284,"270-210-191-61-248-477-101-111-52-101"
0.02,0.14,0.84,0.0277070660542432,0.00994970407409665,0.030722692300696,"148-175-142-162-64-84-204-216-337-56"
0.02,0.16,0.82,0.0246342375051273,0.0101538353648021,0.0291265389232379,"97-137-235-468-447-303-135-86-159-148"
0.02,0.18,0.8,0.0293918599904627,0.0372139040293795,0.0270943959520924,"383-146-148-429-495-130-120-274-469-82"
0.02,0.2,0.78,0.0107013957992061,0.00984444815898413,0.0102894743566748,"170-281-412-300-167-323-110-330-269-61"
0.02,0.22,0.76,0.0180031868416995,0.00809816954479661,0.0150012968410893,"159-302-196-144-222-116-152-207-135-444"
0.02,0.24,0.74,0.00555454142930066,0.016578658283618,0.0055044977363319,"176-59-58-84-82-254-341-232-435-376"
0.02,0.26,0.72,0.0592047802273449,0.0694154571694404,0.0595297457851048,"61-104-154-350-108-54-65-187-147-322"
0.02,0.28,0.7,0.0170261181539074,0.00835878261429074,0.0140300676701317,"487-492-353-252-161-292-110-85-312-373"
0.02,0.3,0.68,0.0596957459082254,0.0726934943230739,0.0518864781369492,"164-202-327-96-168-212-203-154-383-145"
0.02,0.32,0.66,0.0387118598440298,0.0248215089156624,0.0260009241557825,"74-70-75-426-103-112-413-129-73-142"
0.02,0.34,0.64,0.022807781348096,0.0370004264070256,0.0277895670166213,"346-485-277-291-61-63-213-152-123-192"
0.02,0.36,0.62,0.00422856743833185,0.00969854706078797,0.00743749602124888,"181-217-255-164-130-60-125-114-311-85"
0.02,0.38,0.6,0.00220886368785621,0.0222139726338418,0.00215060146226278,"63-236-52-53-202-172-60-79-58-341"
0.02,0.4,0.58,0.0374629179693155,0.0580282152739401,0.0360183451034046,"70-106-133-456-79-300-112-125-273-377"
0.02,0.42,0.56,0.0215225575755587,0.0113725067198197,0.0137506925103896,"415-122-149-205-193-62-161-327-154-245"
0.02,0.44,0.54,0.44929574521318,0.0308743360161426,0.0163094003178804,"69-131-57-84-446-298-72-243-90-213"
0.02,0.46,0.52,0.00779273647732243,0.00899089648747004,0.00990995034552782,"225-95-489-86-121-70-362-140-329-196"
0.02,0.48,0.5,0.0348263114632965,0.0218692782581875,0.0303255622210614,"76-368-326-261-64-353-109-424-93-492"
0.02,0.5,0.48,0.400331253801485,0.0412238082383901,0.0156904803480578,"367-114-104-61-75-223-247-78-133-85"
0.02,0.52,0.46,0.0189979483315529,0.0168325426302722,0.00860645692401034,"147-141-494-156-159-194-215-294-478-187"
0.02,0.54,0.44,0.0170738993952126,0.00547751374124645,0.0121610493783711,"58-124-187-378-76-74-258-60-478-85"
0.02,0.56,0.42,0.0366421437259082,0.0315708919588818,0.0384247119609538,"81-141-215-56-190-299-113-151-112-447"
0.02,0.58,0.4,0.0156034163287853,0.0269877808287867,0.0178474184214292,"178-66-111-239-140-74-211-107-455-133"
0.02,0.6,0.38,0.0491637911948332,0.0440727937963104,0.0595703219029591,"458-53-192-472-163-66-55-210-114-94"
0.02,0.62,0.36,0.0292920079412828,0.0109695696125232,0.0120385703730984,"53-110-399-171-127-301-219-120-372-315"
0.02,0.64,0.34,0.0260095343302693,0.00873059108626988,0.0225511155959206,"60-51-79-226-335-54-90-56-75-62"
0.02,0.66,0.32,0.030417264621095,0.0414916509148575,0.0116643698491374,"145-214-121-109-50-65-108-353-53-72"
0.02,0.68,0.3,0.00810563888549857,0.0189709842373666,0.00934823031631991,"310-207-433-61-126-216-63-431-436-482"
0.02,0.7,0.28,0.016684467784483,0.0229890186750926,0.0268323800491803,"266-233-55-104-120-63-221-175-364-53"
0.02,0.72,0.26,0.0177754322509258,0.0306915548217287,0.0232273063546313,"191-490-122-492-52-231-179-465-75-256"
0.02,0.74,0.24,0.0763710593352047,0.0357821176521115,0.0660339625279703,"73-53-80-137-112-280-94-63-66-83"
0.02,0.76,0.22,0.00571477266296769,0.0289340714426746,0.00853574164937267,"189-438-308-129-193-463-229-170-454-111"
0.02,0.78,0.2,0.0443577497276442,0.0318709601868798,0.0435269998182695,"68-302-441-293-106-283-472-230-158-356"
0.02,0.8,0.18,0.00885371564182248,0.006609077680915,0.00907879638148721,"310-270-248-69-87-156-391-54-243-85"
0.02,0.82,0.16,0.0342644820759843,0.00497391030102669,0.0380226008340243,"145-70-71-90-76-137-57-146-93-500"
0.02,0.84,0.14,0.0407193201401358,0.0396337569552883,0.0232991555396626,"53-66-162-391-245-115-280-55-74-200"
0.02,0.86,0.12,0.00870488216630403,0.010768956062416,0.0111981383793151,"187-207-109-472-192-87-130-362-137-76"
0.02,0.88,0.1,0.00733013329438217,0.0157868105261382,0.0152848963013846,"119-75-75-64-61-137-176-67-454-182"
0.02,0.9,0.08,0.0104247425359511,0.0109127220213497,0.0133327596660765,"65-191-145-259-316-360-108-302-161-55"
0.02,0.92,0.06,0.0106929792722246,0.0155626381437027,0.00647352354689681,"185-66-100-53-259-450-388-66-89-76"
0.02,0.94,0.04,0.00938006369256687,0.0140449691908313,0.000486956096441853,"75-164-116-460-53-331-152-475-465-207"
0.02,0.96,0.02,0.0030030759115381,0.0272697452741274,0.00331143674490282,"187-66-312-57-446-296-236-347-352-274"
0.04,0.02,0.94,0.00532530424200792,0.00355986090587676,0.00892230165730673,"291-421-379-116-96-102-200-138-153-62"
0.04,0.04,0.92,0.0181903510517428,0.0453280974357211,0.0131349393305298,"129-61-157-202-134-64-191-208-193-109"
0.04,0.06,0.9,0.00475266230093635,0.0100057356096111,0.00411868655858837,"200-74-340-106-133-61-158-64-202-328"
0.04,0.08,0.88,0.0250245624256441,0.0230287316056621,0.0164291723734736,"168-405-107-151-67-255-451-50-258-145"
0.04,0.1,0.86,0.0156198323462583,0.0429001082776657,0.0119039279087394,"126-397-153-88-239-69-198-126-264-349"
0.04,0.12,0.84,0.0178070531301376,0.0125707644262337,0.0169397569097929,"357-81-245-73-280-377-62-78-137-289"
0.04,0.14,0.82,0.010915275891821,0.0144153598529113,0.0172262819514345,"141-143-337-333-53-80-290-258-462-86"
0.04,0.16,0.8,0.00462529178794077,0.0101281355142826,0.0024161394075292,"170-87-302-385-90-118-83-458-372-169"
0.04,0.18,0.78,0.00428703559573566,0.0298173902418765,0.0120513297898508,"105-110-220-307-430-189-265-292-92-128"
0.04,0.2,0.76,0.0314164113264061,0.0273951118269683,0.0312323854949733,"124-169-54-135-57-210-73-177-241-142"
0.04,0.22,0.74,0.00934892521816863,0.0349972595453224,0.00821685444978688,"112-174-173-91-301-116-128-69-131-184"
0.04,0.24,0.72,0.00779001856826314,0.012578983483232,0.00672224982187108,"55-338-163-121-59-279-75-56-98-183"
0.04,0.26,0.7,0.0252945293413556,0.0374514316091986,0.0307354918736609,"84-374-285-458-191-81-88-215-140-100"
0.04,0.28,0.68,0.0256262030309536,0.0368263152168999,0.0302329237955076,"157-147-330-69-142-420-408-266-122-378"
0.04,0.3,0.66,0.0292557931981875,0.0104147742100889,0.0239475290570493,"242-214-363-190-108-347-482-206-152-168"
0.04,0.32,0.64,0.0155087891768717,0.0103580166064411,0.0202245363544172,"272-374-396-57-121-245-101-145-243-493"
0.04,0.34,0.62,0.02019440852154,0.0157127522961455,0.0123497277843025,"485-156-102-135-114-323-115-81-170-296"
0.04,0.36,0.6,0.0264237385043904,0.0354942775486785,0.0250357130426184,"341-212-273-102-54-52-54-451-205-179"
0.04,0.38,0.58,0.0291523780772322,0.0260918993607683,0.0283069489954418,"365-159-111-68-419-256-180-189-423-115"
0.04,0.4,0.56,0.0218166201133447,0.0295450470085939,0.0249348650891785,"58-314-304-62-91-189-98-73-195-470"
