p0, p1, p2
129.343, 1.91706, 2.12967
5.58998, 6.3485, 1.38954
8.90379, 7.94409, 0.886932
5.00534, 11.3497, 1.12818
17.2554, 6.95184, 0.739795
6.00755, 84.8271, 0.655347
6.19137, 6.19747, 1.31296
14.4112, 3.41097, 1.49968
16.1676, 22.0616, 0.387686
2796.17, 2.58443, 1.49076
18.1686, 2.30424, 2.10591
110.626, 3.95737, 1.00534
49.3129, 7.04107, 0.591933
328.326, 2.76391, 1.42607
9.32949, 4.89608, 1.24778
41.383, 2.21572, 1.96689
18.1631, 12.7269, 0.475979
30048.7, 32.8719, 0.12101
62.2447, 3.05063, 1.3724
33.2204, 3.25743, 1.35565
33.8892, 2.06788, 2.14828
7.41721, 15.8865, 0.720875
16.8824, 3.86283, 1.27655
17.9445, 17.8176, 0.402611
34.9994, 4.41869, 0.983353
16.5444, 3.50767, 1.41055
68027, 4.8378, 0.735042
29.8829, 3.48277, 1.28193
58.3322, 1.4406, 2.92498
7.3462, 4.46861, 1.52071
7901.65, 10.9029, 0.308116
15.7642, 3.75181, 1.33525
643.385, 2.24427, 1.75116
39.1568, 3.0145, 1.44325
67.9216, 6.59704, 0.607996
19.7534, 2.40496, 1.98685
25.2302, 9.83973, 0.506382
1831.1, 2.4908, 1.55451
3.17353, 7.42384, 2.06018
6.2448, 9.03969, 1.04105
70.1014, 5.54731, 0.722972
86.8252, 4.09549, 0.982048
2.61955, 10.3153, 2.15286
7.27871, 11.2848, 0.835365
30.582, 14.0765, 0.377215
15.2207, 2.88268, 1.74775
4.37694, 5.50217, 1.85295
112.625, 25.301, 0.200457
1132.9, 2.58297, 1.50293
201.354, 9.41044, 0.39507
12.3442, 4.23207, 1.27542
18.4541, 2.12231, 2.27972
25567.6, 3.02817, 1.24668
547.753, 3.72814, 1.02038
27.8251, 5.01582, 0.894812
14.1163, 2.80186, 1.83147
49.6322, 2.08165, 2.06353
569.821, 4.1769, 0.898665
9.54302, 2.2169, 2.61903
6.62095, 3.08919, 2.2504
14.0416, 13.7754, 0.510568
77.3397, 4.52596, 0.889081
19.2354, 4.15204, 1.15525
452.877, 5.49254, 0.666055
22.4909, 9.09333, 0.554122
111.529, 2.13096, 1.92692
13.0176, 6.5999, 0.848865
109.254, 5.67935, 0.682381
5.43193, 17.2413, 0.917613
10.265, 6.78814, 0.918681
26.9126, 4.7643, 0.946852
5.89897, 13.5099, 0.918858
19.3605, 3.25717, 1.46973
10.0002, 14.2671, 0.60736
159.806, 2.60637, 1.54671
21.7212, 64.1968, 0.243567
14.3808, 3.78207, 1.35655
16.828, 2.52319, 1.95256
24.3763, 6.5369, 0.714011
43.8125, 2.19367, 1.97714
17.9359, 10.4957, 0.538347
67.7431, 4.2341, 0.963749
10.2462, 1.85691, 3.05321
16.429, 2.4793, 1.99725
33.7362, 7.07696, 0.623909
198.611, 2.74876, 1.45283
7.3554, 4.00123, 1.67281
6.70792, 2.57559, 2.66925
20.0658, 2.75735, 1.72682
13.819, 3.6492, 1.4199
14.9239, 3.68274, 1.37862
8.30718, 5.72902, 1.16225
14.3324, 3.15656, 1.62103
200.75, 5.03339, 0.753053
21.9891, 3.89866, 1.19821
572.621, 9.10987, 0.38769
7.61133, 5.733, 1.21932
6.07958, 3.12046, 2.34677
7.85355, 5.28826, 1.2759
8.92525, 3.33091, 1.80397
231.34, 5.11483, 0.735867
5.47865, 3.56029, 2.22295
4.69554, 26.6395, 0.962279
5.36877, 7.48915, 1.29463
49.5041, 1.84507, 2.32664
48.5827, 8.67749, 0.490525
36.625, 4.26692, 1.01364
47.9172, 1.7732, 2.42536
342.035, 4.65515, 0.8061
8.31624, 7.79393, 0.934127
12.1388, 3.63907, 1.47963
40.7251, 15.0585, 0.335903
13.7526, 9.38231, 0.642758
39.4721, 4.59107, 0.931589
245.973, 4.13842, 0.92711
5.41496, 3.16339, 2.50162
49.8255, 5.15324, 0.805942
4.42915, 11.4799, 1.2537
1216.69, 2.1812, 1.78955
22.7302, 3.49476, 1.33024
84.6716, 3.44022, 1.18558
940.94, 8.62272, 0.403639
40.3596, 4.31464, 0.990798
38.9194, 3.67982, 1.17381
10.9764, 10.6892, 0.661874
46.5956, 4.54325, 0.924677
16.2413, 4.33156, 1.15276
35.1147, 5.92817, 0.732223
11.2796, 3.15488, 1.73953
11.402, 4.17513, 1.32702
8.16516, 12.0057, 0.748765
154.125, 8.66837, 0.434839
3.20826, 3.63601, 3.438
19.7788, 3.08557, 1.54579
9.96237, 5.97408, 1.02764
57.2884, 2.73629, 1.54598
6.66862, 6.22692, 1.24512
21.9642, 6.0394, 0.784967
8.25938, 5.14641, 1.26978
96.2118, 8.09198, 0.482245
5.88055, 8.65465, 1.11469
51.7415, 7.96772, 0.524384
3.30983, 5.30906, 2.43047
22.5922, 3.27529, 1.42203
54.1707, 6.3, 0.651827
86.6696, 1.92927, 2.15228
1931.01, 7.87939, 0.436756
19.4741, 4.60716, 1.04082
44.1323, 12.5575, 0.372707
33.4384, 3.07703, 1.43664
354.533, 7.30518, 0.493821
8.72054, 3.01648, 2.00368
18488.8, 2.57814, 1.483
16.4366, 3.15746, 1.56828
124.785, 3.7953, 1.04578
117.401, 5.12919, 0.757234
5.75696, 5.17806, 1.57188
12.5485, 3.92577, 1.36186
15.4764, 5.22135, 0.980148
387.124, 5.46249, 0.673032
6.48535, 6.09176, 1.2878
7.41221, 2.97445, 2.19383
54274.8, 1.86812, 2.05839
63.9102, 4.02976, 1.02027
42.5528, 10.1888, 0.438993
422.09, 3.35536, 1.15143
3309.75, 4.78651, 0.753519
8.19497, 7.55207, 0.961626
103.26, 3.05999, 1.3292
54.1501, 10.5937, 0.408344
64.8939, 8.03421, 0.505673
12.8684, 6.54645, 0.858152
72.1034, 2.82463, 1.47373
16.2659, 1.44151, 3.44515
8.831, 2.55096, 2.34878
3.90081, 5.28349, 2.10218
7.9944, 3.52641, 1.79808
21.0201, 3.90827, 1.20525
11.9624, 3.9584, 1.37221
11.2779, 3.72362, 1.48321
92.6124, 2.82666, 1.45277
8.45014, 9.15622, 0.839587
7.50062, 3.04143, 2.13427
95.5781, 2.33782, 1.76576
321.832, 3.11551, 1.25527
34.2062, 5.44674, 0.798675
13.6227, 3.5317, 1.47169
26.6043, 5.53424, 0.819375
7.65015, 3.23294, 1.99354
10.7625, 5.03874, 1.14516
5.75078, 2.43469, 3.11769
8.56125, 8.33535, 0.880396
31.753, 3.5077, 1.26276
66.5245, 3.23392, 1.28492
24.4392, 5.76879, 0.800586
10.3265, 3.44732, 1.64721
12.5692, 97.9766, 0.328165
108, 1.8495, 2.22207
29.1247, 5.77136, 0.774484
8.63685, 14.9534, 0.657516
