p0, p1, p2
119.159, 21.1003, 9.3094
29.8274, 41.0232, 7.53056
40.1597, 46.6167, 6.41951
27.6988, 56.0744, 6.94175
56.926, 43.2419, 6.11166
31.2926, 115.65, 5.93877
31.9225, 40.4472, 7.35568
52.2252, 28.3609, 7.78538
55.2171, 74.4254, 5.40973
441.222, 24.3629, 7.7646
58.2869, 22.9922, 9.2501
113.199, 30.9289, 6.67319
86.2983, 43.5591, 5.8108
163.533, 25.2387, 7.61464
41.2867, 35.1338, 7.20834
81.0838, 22.5591, 8.90571
58.2789, 59.1889, 5.581
2537.96, 85.8136, 4.91233
93.5102, 26.6305, 7.49126
74.7619, 27.6266, 7.45293
75.3268, 21.8362, 9.35595
35.8847, 65.2798, 6.07268
56.3514, 30.4902, 7.2732
57.9589, 68.4572, 5.43846
76.2438, 33.0314, 6.62569
55.8205, 28.8208, 7.57886
5220.57, 34.8814, 6.10185
71.787, 28.7026, 7.28534
91.4636, 18.7971, 11.357
35.6664, 33.2549, 7.83445
876.604, 54.9888, 5.25816
54.5569, 29.9719, 7.40638
211.878, 22.6987, 8.38088
79.472, 26.4557, 7.65434
96.3102, 41.9531, 5.84306
60.508, 23.4851, 8.95489
67.1135, 52.2349, 5.64073
347.398, 23.9051, 7.91363
20.5728, 44.8883, 9.13632
32.1038, 49.9846, 6.75071
97.3381, 37.8709, 6.07699
104.523, 31.5653, 6.62288
18.3527, 53.498, 9.36742
35.4576, 55.9192, 6.31067
72.4331, 61.9485, 5.38963
53.6427, 25.8165, 8.37269
25.3196, 37.6862, 8.62702
113.866, 78.2948, 5.05735
272.439, 24.3557, 7.79295
138.004, 51.0478, 5.42393
48.2546, 32.1889, 7.27065
58.6998, 22.1022, 9.68684
2212.6, 26.5219, 7.20587
198.461, 29.8609, 6.70578
69.8052, 35.6486, 6.43623
51.6909, 25.4234, 8.57484
86.4935, 21.9034, 9.14461
201.628, 31.9376, 6.44442
41.837, 22.5648, 10.5567
33.3581, 26.8168, 9.61271
51.554, 61.3553, 5.64898
100.588, 33.5106, 6.42407
59.8004, 31.8242, 7.00167
184.246, 37.6467, 5.96053
63.9907, 50.1406, 5.73527
113.501, 22.1445, 8.80756
49.6089, 41.9637, 6.33907
112.736, 38.4068, 5.99381
29.2607, 67.5447, 6.48474
43.6275, 42.6528, 6.48702
68.885, 34.5613, 6.54723
30.9162, 60.8217, 6.4874
59.9728, 27.6253, 7.71569
42.983, 62.3178, 5.84178
127.76, 24.4701, 7.89532
63.0518, 106.291, 5.13717
52.1705, 30.1135, 7.45499
56.2666, 24.0635, 8.87049
66.174, 41.7301, 6.05857
82.7625, 22.4512, 8.93096
57.9461, 53.9638, 5.70392
96.2249, 32.1981, 6.58349
43.5822, 20.8074, 11.696
55.6371, 23.8488, 8.98054
75.1984, 43.6858, 5.87512
137.368, 25.1648, 7.6765
35.6948, 31.1316, 8.19338
33.6425, 24.3197, 10.6871
60.9268, 25.2067, 8.32245
51.1421, 29.4899, 7.60041
53.131, 29.6477, 7.5055
38.5099, 38.6068, 7.01719
52.0834, 27.1417, 8.07043
137.864, 35.7237, 6.13906
63.3819, 30.6568, 7.09726
202.026, 50.1886, 5.40974
36.4748, 38.6227, 7.14447
31.5405, 26.9677, 9.85701
37.1972, 36.8007, 7.27173
40.2175, 27.9786, 8.50823
144.66, 36.0704, 6.10356
29.4289, 29.0701, 9.54346
26.5368, 79.7612, 6.58034
29.0323, 45.1101, 7.31408
86.4153, 20.7499, 9.80582
85.848, 48.9098, 5.60953
77.5428, 32.347, 6.69115
85.4327, 20.4007, 10.0576
165.967, 34.0825, 6.24936
38.5356, 46.1269, 6.52
47.8286, 29.4421, 7.7387
80.6151, 63.8033, 5.31079
51.0182, 50.9684, 5.91323
79.7048, 33.7996, 6.51457
147.737, 31.7619, 6.50501
29.1994, 27.1746, 10.2533
86.6112, 36.2331, 6.24903
25.5206, 56.3834, 7.22166
281.947, 22.3901, 8.47339
64.2766, 28.7595, 7.39497
103.658, 28.5002, 7.06909
249.882, 48.7441, 5.44044
80.352, 32.563, 6.64175
79.2956, 29.634, 7.04288
45.2936, 54.4551, 5.95203
84.5941, 33.5874, 6.49981
55.3361, 32.6394, 6.99615
76.3376, 39.3991, 6.09604
45.976, 27.1336, 8.35294
46.2472, 31.9296, 7.38763
38.1045, 57.5993, 6.13019
126.24, 48.8823, 5.5008
20.7119, 29.4277, 12.7229
60.5422, 26.7993, 7.89316
42.8898, 39.5797, 6.72154
90.8996, 25.1041, 7.8936
33.5142, 40.5602, 7.20235
63.3515, 39.8352, 6.20529
38.374, 36.2042, 7.2579
108.123, 47.0923, 5.59328
30.852, 48.8408, 6.912
87.7585, 46.6932, 5.67627
21.1183, 36.8875, 10.0707
64.112, 27.7122, 7.60533
89.1654, 40.8392, 5.93162
104.461, 21.1598, 9.36597
357.514, 46.4065, 5.50452
60.1286, 33.8707, 6.7502
82.9778, 58.8233, 5.381
74.9471, 26.758, 7.63906
168.147, 44.4816, 5.61601
39.6619, 26.4653, 8.99639
1690.83, 24.3321, 7.74654
55.6492, 27.146, 7.94597
117.763, 30.1753, 6.761
115.428, 36.1313, 6.14771
30.419, 36.3379, 7.95444
48.672, 30.7826, 7.46711
54.0765, 36.5203, 6.61878
173.674, 37.5232, 5.97474
32.9104, 40.039, 7.29862
35.8694, 26.2617, 9.47018
4259.85, 20.862, 9.13187
94.3512, 31.2631, 6.70554
81.902, 53.1671, 5.50887
179.382, 28.0955, 6.9932
488.538, 34.6582, 6.14002
38.19, 45.3225, 6.57893
110.666, 26.6757, 7.3926
89.1537, 54.2136, 5.44951
94.8401, 46.9073, 5.63933
49.3142, 41.7656, 6.35864
98.2611, 25.5342, 7.72499
55.3757, 18.8015, 12.742
39.9629, 24.1993, 9.86212
23.4647, 36.7808, 9.2408
37.6103, 28.9096, 8.49399
62.1703, 30.7014, 7.11297
47.4576, 30.9337, 7.49081
45.9723, 29.8397, 7.74702
106.773, 25.5441, 7.67638
38.913, 50.3227, 6.31955
36.1395, 26.586, 9.3209
107.888, 23.1566, 8.41602
162.364, 26.9438, 7.22519
75.5912, 37.4584, 6.23386
50.7741, 28.9347, 7.72025
68.5678, 37.8175, 6.27713
36.5916, 27.509, 8.97138
44.8022, 35.7466, 6.97931
30.3972, 23.6306, 11.8672
39.2228, 47.8602, 6.40566
73.4873, 28.8209, 7.24207
95.6382, 27.5137, 7.29211
66.2442, 38.7661, 6.23784
43.7753, 28.534, 8.1325
48.7141, 120.76, 5.2961
112.309, 20.7714, 9.54124
71.0711, 38.7764, 6.18349
39.432, 63.6102, 5.94317
