fleet,window,start_age,end_age,MAD,IQR,SD,VAR,n_years
1,5,1,3,32.489499,62.2229315,129.2638713,16709.14843,50
1,5,2,4,28.49851821,63.36127196,106.2875753,11297.04867,50
1,5,3,5,32.70514912,64.29253319,108.1016592,11685.96871,50
1,5,4,6,36.16521653,83.75997557,111.6955013,12475.885,50
1,5,5,7,46.59101707,88.46337104,92.29443789,8518.263265,50
1,5,6,8,23.54385,45.214376,89.63757459,8034.894778,50
1,5,7,9,20.21887983,36.96041474,77.62930862,6026.309557,50
1,5,8,10,16.714548,33.19247259,49.74691964,2474.756014,50
1,5,9,11,10.01684761,20.31332614,33.60324284,1129.177929,50
1,5,10,12,7.102895111,13.33523703,17.27099462,298.2872551,50
1,5,11,13,4.97186436,9.870161313,13.70553236,187.8416173,50
1,5,12,14,3.234185323,6.233574743,10.28314617,105.7430951,50
1,5,13,15,2.966654,5.5832725,5.937472895,35.25358437,50
2,5,1,3,8.67024,15.8651299,14.65038599,214.6338097,15
2,5,2,4,12.2793328,24.10251,16.73406224,280.0288392,15
2,5,3,5,11.80674,25.56768863,15.35640244,235.8190958,15
2,5,4,6,8.1365,24.314863,14.49903792,210.2221005,15
2,5,5,7,6.339254,15.11819765,12.99959423,168.98945,15
2,5,6,8,6.56908,13.05315488,8.795044224,77.35280291,15
2,5,7,9,3.82994,7.231444867,8.114628929,65.84720265,15
2,5,8,10,3.48056,5.410849333,7.504023982,56.31037593,15
2,5,9,11,2.0757315,5.382735063,4.338961004,18.8265826,15
2,5,10,12,0.88764,4.242975,3.707957052,13.7489455,15
2,5,11,13,1.17881423,2.10886183,3.130962296,9.802924902,15
2,5,12,14,0.444868875,0.64463,2.507449674,6.287303869,15
2,5,13,15,0.33144317,0.51798,2.386879998,5.697196125,15
