"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"MN",25,1,"MN",TRUE,0.058878405775519,NA,0.26,0.32,0.42
"MN",25,1,"DM",TRUE,0.0588781565123497,26706.8425597672,0.260000762547812,0.319998492130401,0.420000745321787
"DMstrong",25,1,"MN",TRUE,0.169705627484771,NA,0.08,0.18,0.74
"DMstrong",25,1,"DM",TRUE,0.169705664183557,4410.34052780411,0.0800032839937438,0.179996664136768,0.740000051869488
"MN",125,1,"MN",TRUE,0.0065319726474218,NA,0.208,0.292,0.5
"MN",125,1,"DM",TRUE,0.00653097305762607,5694.96361819567,0.207990332788807,0.29199280792494,0.500016859286253
"DMstrong",125,1,"MN",TRUE,0.0228619042659763,NA,0.18,0.332,0.488
"DMstrong",125,1,"DM",TRUE,0.0311587021406377,0.0744765089308103,0.198456234441782,0.338909917200922,0.462633848357296
"MN",250,1,"MN",TRUE,0.0256645020732269,NA,0.166,0.306,0.528
"MN",250,1,"DM",TRUE,0.0256641419419454,7770.68744622977,0.16600013040126,0.306000892892186,0.527998976706554
"DMstrong",250,1,"MN",TRUE,0.116584733134317,NA,0.226,0.428,0.346
"DMstrong",250,1,"DM",TRUE,0.109860801686522,0.111587663534934,0.225978316108204,0.419668065420327,0.354353618471469
"MN",25,2,"MN",TRUE,0.0163299316185545,NA,0.18,0.32,0.5
"MN",25,2,"DM",FALSE,0.0163099305774499,4847.08283859769,0.180017726126765,0.319968726891267,0.500013546981968
"DMstrong",25,2,"MN",TRUE,0.255081686262787,NA,0.36,0.5,0.14
"DMstrong",25,2,"DM",TRUE,0.256741020558015,0.903465002689482,0.36920718799094,0.493606080719313,0.137186731289747
"MN",125,2,"MN",TRUE,0.0203960780543712,NA,0.18,0.292,0.528
"MN",125,2,"DM",TRUE,0.0204009280965771,10522.9565015386,0.179996327233817,0.291996653582015,0.528007019184168
"DMstrong",125,2,"MN",TRUE,0.0625672971021337,NA,0.288,0.248,0.464
"DMstrong",125,2,"DM",TRUE,0.0611977184035539,1.18608416842606,0.286234729141451,0.250524984595319,0.463240286263231
"MN",250,2,"MN",TRUE,0.0428330090778907,NA,0.208,0.348,0.444
"MN",250,2,"DM",TRUE,0.0428350706875438,3621.95676971136,0.207998777066502,0.348003299813513,0.443997923119986
"DMstrong",250,2,"MN",TRUE,0.132584564209665,NA,0.168,0.476,0.356
"DMstrong",250,2,"DM",TRUE,0.130316380084759,0.201008729803526,0.174221326557206,0.470924564991047,0.354854108451747
"MN",25,3,"MN",TRUE,0.0489897948556636,NA,0.2,0.24,0.56
"MN",25,3,"DM",FALSE,0.0490039261105432,7114.86714518399,0.199957993388286,0.240003707149209,0.560038299462505
"DMstrong",25,3,"MN",TRUE,0.0711805216802087,NA,0.24,0.2,0.56
"DMstrong",25,3,"DM",TRUE,0.0740511416189473,3.11128070774719,0.241559824853478,0.19597380788933,0.562466367257192
"MN",125,3,"MN",TRUE,0.0195959179422654,NA,0.2,0.276,0.524
"MN",125,3,"DM",TRUE,0.0195940848630271,21636.9009163544,0.200000424801297,0.276002032656568,0.523997542542136
"DMstrong",125,3,"MN",TRUE,0.183913022921162,NA,0.156,0.544,0.3
"DMstrong",125,3,"DM",TRUE,0.179734738871358,0.0478564873358887,0.208024694674647,0.516007123942532,0.275968181382821
"MN",250,3,"MN",TRUE,0.0130639452948436,NA,0.2,0.316,0.484
"MN",250,3,"DM",TRUE,0.0130641372287976,10382.1737310182,0.200000003409486,0.316000233365382,0.483999763225131
"DMstrong",250,3,"MN",TRUE,0.104243305140746,NA,0.23,0.41,0.36
"DMstrong",250,3,"DM",TRUE,0.0861052028461349,0.0363701853655396,0.23772926604746,0.381402688663852,0.380868045288688
"MN",25,4,"MN",TRUE,0.0163299316185545,NA,0.2,0.32,0.48
"MN",25,4,"DM",TRUE,0.0163414284690505,11013.271896446,0.20002725264316,0.320000440471146,0.479972306885693
"DMstrong",25,4,"MN",TRUE,0.142361043360417,NA,0.12,0.18,0.7
"DMstrong",25,4,"DM",TRUE,0.14236052637233,12537.3826060387,0.119999699814749,0.180000952653349,0.699999347531903
"MN",125,4,"MN",TRUE,0.0214165045389453,NA,0.196,0.276,0.528
"MN",125,4,"DM",TRUE,0.0214158208260852,161401.353612237,0.196000487536944,0.276000544752603,0.527998967710453
